Election,CONSTITUENCY,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
,,,Year,,,,,,,,
,,,Year,,,,,,,2016 presidential election,http://psephos.adam-carr.net/countries/h/haiti/haiti20161.txt
,,,Year,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,ARTIBONITE,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,ARTIBONITE,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,ARTIBONITE,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),BOUCAN CARRE,CENTRE,2016,Jude JEAN,PHTK,,,"3,601",53.2,,
CHAMBER OF DEPUTIES (SECOND ROUND),,CENTRE,2016,Erinece Saint Jean,OPL,,,"3,163",46.7,,
CHAMBER OF DEPUTIES (SECOND ROUND),,CENTRE,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),SAVANETTE-QUARTIER BAPTISTE,CENTRE,2016,Guerda B ALEXANDRE,APLA,,,"2,244",52,,
CHAMBER OF DEPUTIES (SECOND ROUND),,CENTRE,2016,Dieunoit Duperme,OPL,,,"2,071",48,,
CHAMBER OF DEPUTIES (SECOND ROUND),,CENTRE,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,CENTRE,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,CENTRE,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),JEREMIE,GRAND ANSE,2016,St Jean Marie G LUNDY,Bouclier,,,"8,423",53.9,,
CHAMBER OF DEPUTIES (SECOND ROUND),,GRAND ANSE,2016,Jean Gustave Lorreus,Consortium,,,"7,192",46.1,,
CHAMBER OF DEPUTIES (SECOND ROUND),,GRAND ANSE,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,GRAND ANSE,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,GRAND ANSE,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),ACUL DU NORD,NORD,2016,Rodney CHARLES,PD,,,"4,808",54,,
CHAMBER OF DEPUTIES (SECOND ROUND),,NORD,2016,Henry J H Milfort,Verite,,,"4,091",46,,
CHAMBER OF DEPUTIES (SECOND ROUND),,NORD,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),DONDON,NORD,2016,Hermogene DANIEL,Fusion,,,"2,580",54.7,,
CHAMBER OF DEPUTIES (SECOND ROUND),,NORD,2016,Harrold Chery,PHTK,,,"2,134",45.3,,
