Election,CONSTITUENCY,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
,,,Year,,,,,,,,
,,,Year,,,,,,,2016 presidential election,http://psephos.adam-carr.net/countries/h/haiti/haiti20161.txt
,,,Year,,,,,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Serge Auguste,Alyans,"5,010",3.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Marc Foreste Casseus,Lavalas,"4,267",3.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Shoosman Offency,Mochrenha,"3,783",2.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Yanick Lecorps,Konba,"3,103",2.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Alfred Thomas,MRN,"2,107",1.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Rosiny Fils-Aime,Fusion,"1,978",1.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Carmeleau Herby Dubique,Greh,"1,589",1.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Sergo Vixamar,Frontciph,"1,327",1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Oslaude Rousseau,OPL,"1,312",1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Julio Dorcin,GFCD,"1,262",1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Joachim Ismael,Unité,"1,208",0.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Faubert Seide,MIRN,"1,154",0.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Gasner Francois,Tet Ansanm,"1,147",0.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Baby Monastere,MPH,"1,107",0.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Anselot Esperance,PNDPH,"1,041",0.8,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Joel Hall,PLH,"1,031",0.8,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Elysée Polycap,Pacapalah,900,0.7,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Harry Datus Voltaire,Modereh,801,0.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Paul Arthur Fleurival,Madidh,687,0.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Stross Saimbert,MUP,516,0.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,GANTHIER - FONDS-VERRETTES,OUEST,2006,P Judes Destiné,Modereh,"2,558",19.7,,,,
Elections to the Chamber of Deputies,,OUEST,2006,François Sanozier,OPL,"2,194",16.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Lelio Pierre,Union,"1,715",13.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Renel Cénatus,RDNP,"1,290",10,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Roland Chery,Pacapalah,"1,107",8.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Kesner Jacquet,Fusion,509,3.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,B Vivianne Jacques,Alyans,464,3.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Augustin Bresil,MPH,423,3.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Bertrand Mathurin,Lavalas,314,2.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Lucien Louismé,PNDPH,199,1.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Ronald Zetrenne,Unité,191,1.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Ulrick Cebea,MIRN,100,0.8,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Roche Mulet Paul,Greh,60,0.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Marie Yves Bellevue,Mochrenha,33,0.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Nesly Bouzy,Adrena,21,0.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Nadege Dina,FRN,20,0.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,GRAND-GOAVE,OUEST,2006,Jean Marcel LUMERANT,Alyans,"1,486",14.1,"3,145",53,,
Elections to the Chamber of Deputies,,OUEST,2006,Fortuné Jean Louis,Lespwa,"1,249",11.9,"2,788",47,,
Elections to the Chamber of Deputies,,OUEST,2006,Ernst Milor Francois,MNP,"1,029",9.8,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Eddy Jean Julien,Konba,965,9.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,J Télémaque Sterlin,Adrena,883,8.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Narilien Lormil,Modereh,868,8.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Duplan Marseille,Tet Ansanm,576,5.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Joseph Lucas Chery,Unité,526,5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Sylvio Paul,RDNP,498,4.7,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Wilbert Edmond,FRN,479,4.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,M Benita Exume,Fusion,429,4.1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Pascal Rodrigue Morency,MPH,396,3.8,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Géteau Adelson,JPD,365,3.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Winel Jean Julien,Lavalas,174,1.7,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Stephenson Natoux,Union,172,1.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,GRESSIER,OUEST,2006,Jean Baptiste J Jacques,Lespwa,"3,245",24.4,"2,325",46.9,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Ronald OSCAR,Alyans,"1,843",13.9,"2,629",53.1,,
Elections to the Chamber of Deputies,,OUEST,2006,Weekentz Guervil,RDNP,"1,660",12.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Joseph Antonio Vericain,Union,"1,087",8.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Leresse Clerin,Mochrenha,"1,042",7.8,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Guerline C Theodore,MPH,622,4.7,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Levelt Milord,LAAA,555,4.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Toussaint,Modereh,518,3.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Nicholson Michel,PSR,504,3.8,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Franck Noisimond,Fusion,501,3.8,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Wilbert Charlestin,Alah,491,3.7,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Gene Barthelemy,MNP,295,2.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Frantz Presume,FRN,190,1.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Benedict Desil,OPL,182,1.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Yanick Paris Baille,PLH,118,0.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Gesner Milcent,Tet Ansanm,40,0.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,KENSCOFF,OUEST,2006,Edmond Marcel Dupuy,Alyans,"3,288",25,"2,254",37.8,,
Elections to the Chamber of Deputies,,OUEST,2006,Lesly FANFAN,FRN,"2,506",19,"3,717",62.2,,
Elections to the Chamber of Deputies,,OUEST,2006,José Joseph,OPL,"1,178",9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Fabrice Narcisse,Mochrenha,913,6.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Emmanuel Paul Pierre,RDNP,646,4.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Aglamento Laguerre,Pont,642,4.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Noel Joseph,PLH,602,4.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Nemez St Juste,Union,562,4.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Eddy Gérald Pierre,Frontciph,517,3.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Francois Tinor,MUP,391,3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn C Jean Antoine,Greh,249,1.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Fred Brisson,Fusion,217,1.7,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Claudy Smith,Tet Ansanm,215,1.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Philippe Laurent,Modereh,203,1.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,L'ARCAHAIE,OUEST,2006,Julien P FÉQUIÈRE,Union,"5,101",26.9,"4,841",54.3,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Dany Duvert,Alyans,"3,340",17.6,"4,066",45.7,,
Elections to the Chamber of Deputies,,OUEST,2006,F André Philippe,Fusion,"2,541",13.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,P Willer Rivière,OPL,"1,584",8.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Jackson Michel,Tet Ansanm,"1,495",7.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,M Antoine Sylvain,PNDPH,987,5.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,P Dieudonné Delice,Adrena,712,3.8,,,,
Elections to the Chamber of Deputies,,OUEST,2006,J Arcel Limonta,MUP,708,3.7,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Lefabre Sully,MIRN,619,3.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Micatin Morvan,MPH,551,2.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,LEOGANE,OUEST,2006,Melour Civil,Lespwa,"10,320",28.4,"5,015",41.5,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Baptiste A DUMONT,RDNP,"9,556",26.3,"7,061",58.6,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Danton Leger,Lavalas,"6,645",18.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,J G Varnel Durandisse,PNDPH,"3,904",10.7,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Yveton Cajuste,Mochrenha,"3,061",8.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Chenet Ulyce,Fusion,525,1.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Mathieu Auguste,Greh,432,1.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Lesly Preval,Tet Ansanm,347,1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,PETION-VILLE,OUEST,2006,Steven Irvenson BENOIT,Lespwa,"38,526",44,"19,110",83.3,,
Elections to the Chamber of Deputies,,OUEST,2006,Murielle C Desmarattes,RDNP,"7,263",8.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Emmanuel G A P Brutus,,"6,015",6.9,"3,842",16.7,,
Elections to the Chamber of Deputies,,OUEST,2006,Edy Dieudonne,Union,"4,348",5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Dominique Saint Roc,MUP,"4,098",4.7,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Rodrigue Lucien,Fusion,"3,731",4.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Maurice Pierre,Mochrenha,"3,683",4.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Dieudonné Lherissson,FRN,"2,638",3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Robert Panier,LAAA,"2,303",2.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Gesner Dorval,GFCD,"2,287",2.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Kenzy Joseph,Alyans,"2,109",2.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Emile Joseph,OPL,"1,138",1.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Moise Altidor,MPH,992,1.1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,H Bermahne J Merveille,Greh,973,1.1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Antoine Lubin,Tet Ansanm,945,1.1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Michelet P Charles,Modereh,914,1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Fritz Senat,PSR,838,1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Evens Exantus,MNP,797,0.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jacky Bright Dorcin,Penh,351,0.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,PETIT-GOAVE,OUEST,2006,Jean Limongy,Alyans,"7,167",26.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Francis Alphonse,GFCD,"5,055",18.7,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Emmanuel Julien,LAAA,"2,417",9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Eddras Berote,RDNP,"2,047",7.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Romane Paul,Union,"1,478",5.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Wadson Rathon,OPL,"1,222",4.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Luc Lefort Fontus,Mochrenha,"1,157",4.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Abela Derosier,Adebha,942,3.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Andre J Jn Francois,Modereh,696,2.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Osny Gedissaint,Konba,649,2.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Prosper Merilien,MPH,413,1.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Abel Mainviel,Fusion,409,1.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Genel Pierre,JPD,292,1.1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Douald St Juste,FRN,279,1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Edny Vergin,Tet Ansanm,222,0.8,,,,
Elections to the Chamber of Deputies,,OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,PORT-AU-PRINCE-ZONE EST,OUEST,2006,Saurel FRANCOIS,Lavalas,"9,937",16.2,"10,671",62.5,,
Elections to the Chamber of Deputies,,OUEST,2006,Warner Cadet,JPD,"6,090",9.9,"6,397",37.5,,
Elections to the Chamber of Deputies,,OUEST,2006,L Victor Mornay,RDNP,"5,460",8.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Marie Cecille Americe,PNDPH,"4,424",7.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Ralph R Theano,RCP,"4,345",7.1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Francisco Alcide,Alyans,"3,212",5.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Fatima Moreau,Union,"3,048",5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Gerald Jr Oriol Jn,Pain,"2,686",4.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Robert Alexis,GFCD,"2,526",4.1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Antoine Jean,Fusion,"2,317",3.8,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Mario Beauvoir,Tet Ansanm,"1,786",2.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Roosvelt Goguette,Mochrenha,"1,452",2.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Edouard Severe,MRN,"1,447",2.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Marcelin Buteau,Konba,"1,334",2.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Fritz Georges,MIRN,"1,244",2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Spely Laventure,Alah,"1,105",1.8,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Alex Cadet,,"1,042",1.7,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Camille Adolphe,Adebha,"1,000",1.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Joseph G P Louis,OPL,802,1.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Francius Wancito,MPH,755,1.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Williams Jn Baptiste,AD,678,1.1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Patrick Michel,Modereh,590,1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Toles Pierre,Pacapalah,329,0.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Odel M J J Baptiste,Penh,261,0.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,PORT-AU-PRINCE-ZONE NORD,OUEST,2006,Jonas COFFY,Lavalas,"10,961",24.5,"11,026",79,,
Elections to the Chamber of Deputies,,OUEST,2006,Austel Bolivar,RDNP,"4,862",10.9,"2,931",21,,
Elections to the Chamber of Deputies,,OUEST,2006,Rodriguez Sejoux,PLH,"4,150",9.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Wilda Mystral,Penh,"4,105",9.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Franks Briere,Alyans,"3,785",8.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Frenel Compas,Union,"3,705",8.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Gilles Michel,Mochrenha,"2,896",6.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Fritz Haubourg,Fusion,"2,592",5.8,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Costaho Blemy,Tet Ansanm,"2,067",4.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jn Erick Ais,OPL,"1,354",3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Claude Dubique,Unité,"1,233",2.8,,,,
Elections to the Chamber of Deputies,,OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,PORT-AU-PRINCE-ZONE SUD,OUEST,2006,Jn Cledor MYRTIL,Lespwa,"29,952",39.7,"16,498",76.3,,
Elections to the Chamber of Deputies,,OUEST,2006,Yolette Mengual,Fusion,"7,898",10.5,"5,130",23.7,,
Elections to the Chamber of Deputies,,OUEST,2006,Roland Fils Duclervil,Union,"3,852",5.1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Theophat Saintilus,RDNP,"3,493",4.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Riviere Guirand,Alyans,"3,486",4.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Rogavil Boisguene,LAAA,"2,682",3.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Elie Fréderick A Bastien,MPH,"1,700",2.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Widjmy Carlah J Clesca,Alah,"1,664",2.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Phillipe Albert Philius,Mochrenha,"1,475",2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Pierre David Medy,,"1,378",1.8,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jean Kelly Damis,OPL,"1,214",1.6,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Roosvelt Ovide,GFCD,"1,144",1.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Daniel Jn Baptiste,Pont,"1,140",1.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Beauvy Dorismond,RCP,"1,118",1.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Fritzner Pierre,Madidh,"1,080",1.4,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Joseph Percy,Penh,949,1.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Emmanuel Dessouces,Konba,891,1.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Billy Jean,Modereh,884,1.2,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Sandro Jean Léger,Tet Ansanm,837,1.1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Wanel Fils,PLH,724,1,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Fritz Jean Baptiste,JPD,700,0.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Sony Cantave,MUP,663,0.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Wilfrid Mindor,MIRN,656,0.9,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Jor Boisrond,Unité,599,0.8,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Roody Metellus,Olahh,525,0.7,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Nixon Sully,FRN,410,0.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Joseph Gabriel Miracle,PNDPH,374,0.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Léonel M Mondestin,Frontciph,372,0.5,,,,
Elections to the Chamber of Deputies,,OUEST,2006,Frantz Dessin,Pacapalah,258,0.3,,,,
Elections to the Chamber of Deputies,,OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,,OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,,OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,AQUIN,SUD,2006,Emmanuel F G BOURJOLLY,Fusion,"2,856",18.5,"4,871",55.6,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Robert Bosse,RDNP,"2,534",16.4,"3,909",44.5,,
Elections to the Chamber of Deputies,,SUD,2006,Edouard Jn Robert,Union,"1,965",12.7,,,,
Elections to the Chamber of Deputies,,SUD,2006,Bonel Amede,OPL,"1,432",9.3,,,,
Elections to the Chamber of Deputies,,SUD,2006,Josette Macillon,Mochrena,"1,292",8.4,,,,
Elections to the Chamber of Deputies,,SUD,2006,Numa Frazil,Lespwa,"1,188",7.7,,,,
Elections to the Chamber of Deputies,,SUD,2006,Calixte Bosse,Lavalas,"1,037",6.7,,,,
Elections to the Chamber of Deputies,,SUD,2006,Enel Michel Castor,GFCD,745,4.8,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jean Yonel,PSR,481,3.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,Michel Lalanne,Alyans,327,2.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,Yvener Adam,PLH,298,1.9,,,,
Elections to the Chamber of Deputies,,SUD,2006,Margueny Daceus,Frontciph,238,1.5,,,,
Elections to the Chamber of Deputies,,SUD,2006,Joseph Gagnol Lalanne,MUP,232,1.5,,,,
Elections to the Chamber of Deputies,,SUD,2006,,,,,,,,
Elections to the Chamber of Deputies,CAMP-PERRIN - MANICHE,SUD,2006,Pierre-Dutemps Jn Louis,Union,"3,350",25.5,,,,
Elections to the Chamber of Deputies,,SUD,2006,Delince Pierre,Mochrena,"2,733",20.8,,,,
Elections to the Chamber of Deputies,,SUD,2006,Pierre Michel Durose,MPH,"1,370",10.4,,,,
Elections to the Chamber of Deputies,,SUD,2006,Ilane Aurelien,Alyans,"1,130",8.6,,,,
Elections to the Chamber of Deputies,,SUD,2006,Antoine Levelt Altidor,JPD,"1,053",8,,,,
Elections to the Chamber of Deputies,,SUD,2006,Pierre Wilvy Banatte,RDNP,884,6.7,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jorice Oremil,OPL,853,6.5,,,,
Elections to the Chamber of Deputies,,SUD,2006,Maximin Sincere,Tet Ansanm,543,4.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,Nesly Jean Bernard,FRN,228,1.7,,,,
Elections to the Chamber of Deputies,,SUD,2006,,,,,,,,
Elections to the Chamber of Deputies,CAYES - L'ILE A VACHE,SUD,2006,Jn Marc Andre Similien,Union,"7,704",18.9,"8,990",47.5,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Davide GENESTE,Alyans,"6,759",16.6,"9,957",52.5,,
Elections to the Chamber of Deputies,,SUD,2006,Joseph Banel Rene,OPL,"5,370",13.2,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Marie Junior Salomon,Lespwa,"4,802",11.8,,,,
Elections to the Chamber of Deputies,,SUD,2006,S Gerald Pierre,Lavalas,"1,964",4.8,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Clarele Glay,FRN,"1,819",4.5,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Evens Clovis,Tet Ansanm,"1,659",4.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,Webert Civil,MRN,"1,641",4,,,,
Elections to the Chamber of Deputies,,SUD,2006,Pierre Jeannot Bataille,Konba,"1,279",3.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Narcisse Sidne,Mochrena,"1,238",3,,,,
Elections to the Chamber of Deputies,,SUD,2006,Yvon Denis,MPH,"1,223",3,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Pierre Onel Joachim,RDNP,842,2.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,Charly Noel,JPD,719,1.8,,,,
Elections to the Chamber of Deputies,,SUD,2006,César Jean-René,Fusion,651,1.6,,,,
Elections to the Chamber of Deputies,,SUD,2006,Sonel Laguerre,MIRN,610,1.5,,,,
Elections to the Chamber of Deputies,,SUD,2006,Lucien Gedeon Joseph,Adebha,433,1.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Michelet Paulin,PSR,276,0.7,,,,
Elections to the Chamber of Deputies,,SUD,2006,,,,,,,,
Elections to the Chamber of Deputies,CHARDONNIERES - ANGLAIS,SUD,2006,Jn Galvy CHARLES,Union,"2,077",22.6,"4,351",51.6,,
Elections to the Chamber of Deputies,,SUD,2006,Lisma Jn Romelus,OPL,"1,240",13.5,"4,080",48.4,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Joseph W Jn François,Alyans,"1,075",11.7,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Raphael Alex,RDNP,"1,045",11.4,,,,
Elections to the Chamber of Deputies,,SUD,2006,Roswald Michel,Lavalas,935,10.2,,,,
Elections to the Chamber of Deputies,,SUD,2006,Motlet Alexandre,MPH,826,9,,,,
Elections to the Chamber of Deputies,,SUD,2006,Luckner Lajoie,Olahh,469,5.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,Chamblain Louis Jodel,FRN,214,2.3,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Médroit R Berjuste,Tet Ansanm,201,2.2,,,,
Elections to the Chamber of Deputies,,SUD,2006,Ernould Joseph Romulus,Fusion,200,2.2,,,,
Elections to the Chamber of Deputies,,SUD,2006,Veliorme Seide,Mochrena,90,1,,,,
Elections to the Chamber of Deputies,,SUD,2006,Claudius Boisrond,JPD,62,0.7,,,,
Elections to the Chamber of Deputies,,SUD,2006,,,,,,,,
Elections to the Chamber of Deputies,COTEAUX,SUD,2006,Astrel DOLNÉ,MPH,"1,242",28.2,"2,393",53.3,,
Elections to the Chamber of Deputies,,SUD,2006,Beonard Dorismond,Pont,"1,006",22.8,"2,100",46.7,,
Elections to the Chamber of Deputies,,SUD,2006,E Louisseul France,Union,594,13.5,,,,
Elections to the Chamber of Deputies,,SUD,2006,Marc Lapierre Bedejuste,Fusion,503,11.4,,,,
Elections to the Chamber of Deputies,,SUD,2006,Pierre Joint,PSD,259,5.9,,,,
Elections to the Chamber of Deputies,,SUD,2006,Dieucermeau Saintermo,OPL,182,4.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,Riolann Remy,Konba,117,2.7,,,,
